UserId,Age,Gender,Education,Country,Victim,Chatbot,Q0,Q1,Q2,Q3,Q4,Q5,PQ1,PQ2,PQ3,PQ4,PQ5
327944221,28,NB,DD,United States,YM,undefined,3,0,0,0,0,0,phishingWriting0p,hamWriting0p,phishingStyling0p,hamStyling0p,Whether the bot teacher said it was
607435948,19,M,HS,United States,YF,,0,1,3,0,1,2,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,look at url
676776849,33,NB,BD,United States,YF,A,0,1,3,0,1,1,phishingWriting100p,hamWriting50p,phishingStyling25p,hamStyling75p,the url was the quickest thing to check
887828002,18,M,BD,United States,YF,YM,0,1,3,0,1,1,phishingWriting50p,hamWriting75p,phishingStyling25p,hamStyling75p,
347846709,45,M,BD,United States,YM,YM,0,1,3,3,3,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,If I hovered over any links did the url match the email Did the subject line have any overly urgent language
137182654,36,M,BD,United States,YM,YM,0,1,3,3,2,3,phishingWriting50p,hamWriting25p,phishingStyling25p,hamStyling50p,I analyzed the subject line sender content and links of the email
340531988,37,M,HS,United States,YF,A,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I looked at the links to see if they matched I looked for bad grammar or misspellings I checked to see if there was any request for personal details or a sense of urgency
499374305,38,M,HS,United States,YM,YM,0,1,3,3,3,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,I would pay close attention to the links when I hovered over them as well as scanning for urgent language
686095653,27,NB,BD,United States,YF,YF,2,1,1,1,2,1,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,
590975632,37,F,HS,United States,A,YF,0,1,3,0,1,3,phishingWriting50p,hamWriting25p,phishingStyling75p,hamStyling25p,I checked the link first and then the senders email
207441782,42,M,HS,United States,YF,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I hovered over links within the email body to see if they matched the email domain from the sender and matched with the company that the email claimed to be from I also tried to check for clever mispellings in the domain names like wwwamazooncom
175672820,58,F,MD,United States,YM,YM,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I look for no urgency or threatening in the language that the email address matched the company name professional language was used the link looked legitimate and that the offer looked legitimate
933139280,35,M,HS,United States,YM,YM,0,1,3,3,3,1,phishingWriting75p,hamWriting100p,phishingStyling100p,hamStyling75p,I would read the email and see if there was a clickable link If there was then I would hover over it and see if it looked suspicious I then would determine if the link matched the email sender
324086573,48,M,BD,United States,YM,YF,0,1,3,3,3,1,phishingWriting25p,hamWriting0p,phishingStyling25p,hamStyling0p,link matching was the primary process
321120660,36,F,BD,United States,YF,YF,1,0,0,1,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,Based on my practical experience
64885995,33,M,HS,United States,YM,YM,0,1,3,2,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,Content of the message senders address any calls to action ie click a link call a number I checked grammar and spelling and relevancy of the text to the subject line
650482772,29,M,BD,United States,YM,YM,0,1,3,3,3,3,phishingWriting25p,hamWriting75p,phishingStyling50p,hamStyling50p,I like looking at the links and deciding if they seem legit or not
730069641,34,M,HS,United States,YF,YF,0,1,3,0,2,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I mainly check the link they provided and whether it seemed legit 
384755142,30,F,BD,United States,A,YM,0,1,3,3,3,1,phishingWriting50p,hamWriting0p,phishingStyling25p,hamStyling0p,Mostly entirely if the sender or URL was correct with extra suspicion for urgent or prize notifications
294470733,37,M,BD,United States,YM,YM,0,1,3,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling50p,hamStyling50p,I would look at the sender and the domain of the email address I would read their message and look for anything suspicious ie urgency stuff with money etc then i would see if there were any links if there were i would hover over url
722038228,29,M,HS,United States,YF,YM,0,1,3,1,1,3,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling25p,checking the link and using common sense 
834345791,40,M,PD,United States,YM,YM,1,1,2,1,0,3,phishingWriting100p,hamWriting75p,phishingStyling50p,hamStyling50p,no
734455555,47,M,HS,United States,YM,YM,0,1,3,3,1,1,phishingWriting25p,hamWriting75p,phishingStyling75p,hamStyling75p,I would check to see if the link in the message matched the domain name of the sender I would look to make sure that the domain name seemed legitimate based upon what I have seen before I made sure they were not asking for personal information
8389005,44,M,BD,United States,YF,YM,0,1,3,0,1,3,phishingWriting50p,hamWriting75p,phishingStyling50p,hamStyling75p,first I looked at the sender address in the top then I would read the message if it sounded unreasonable or unlikely then I would check any links In real life I never click any links in my email anyways ever
999855022,41,M,HS,United States,YM,YF,0,1,3,3,2,1,phishingWriting25p,hamWriting25p,phishingStyling50p,hamStyling50p,I  used tools Ive acquired over  years of doing exactly everything you describe here except IRL I use a few more ie checking the headers to see the origination of the email comparing the from and replyto
771142186,36,M,MD,United States,YF,YF,0,2,0,3,3,3,phishingWriting25p,hamWriting50p,phishingStyling25p,hamStyling25p,Langusge used and the link to provide funds 
173341017,56,M,BD,United States,YF,YF,0,1,3,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,Checking emails and other links when available  I found it quite irritating when having two different domains for email and the website were still considered legitimate  
