,MturkId,Userid,EmailId,TrainingPeriod,Trial,Condition,Decision,EmailType,Action,Confidence,ReactionTime,Correct
0,A3KF6O09H04SP7,467168543,976,preTraining,1,Human-Plain,false,ham,3,0,43850,1
1,A3KF6O09H04SP7,467168543,292,preTraining,2,Human-Plain,false,phishing,2,3,46363,0
2,A3KF6O09H04SP7,467168543,644,preTraining,3,Human-Plain,true,phishing,1,3,25198,1
3,A3KF6O09H04SP7,467168543,48,preTraining,4,Human-Plain,true,phishing,2,5,59776,1
4,A3KF6O09H04SP7,467168543,1056,preTraining,5,Human-Plain,false,ham,3,3,21620,1
5,A3KF6O09H04SP7,467168543,475,preTraining,6,Human-Plain,true,phishing,4,5,21418,1
6,A3KF6O09H04SP7,467168543,764,preTraining,7,Human-Plain,false,ham,2,2,31199,1
7,A3KF6O09H04SP7,467168543,856,preTraining,8,Human-Plain,false,ham,2,2,23109,1
8,A3KF6O09H04SP7,467168543,184,preTraining,9,Human-Plain,true,phishing,4,5,27386,1
9,A3KF6O09H04SP7,467168543,64,preTraining,10,Human-Plain,false,phishing,1,2,11981,0
10,A3KF6O09H04SP7,467168543,172,Training,1,Human-Plain,false,phishing,1,2,5401,0
11,AIQM86IRETAJN,294224885,1120,preTraining,1,Human-Plain,false,ham,2,2,1763,1
12,A3KF6O09H04SP7,467168543,948,Training,2,Human-Plain,false,ham,1,2,9200,1
13,AIQM86IRETAJN,294224885,1160,preTraining,2,Human-Plain,true,ham,3,4,326036,0
14,AIQM86IRETAJN,294224885,607,preTraining,3,Human-Plain,false,phishing,1,1,31526,0
15,A3KF6O09H04SP7,467168543,1408,Training,3,Human-Plain,false,ham,1,2,3577,1
16,AIQM86IRETAJN,294224885,256,preTraining,4,Human-Plain,true,phishing,3,2,12147,1
17,A3KF6O09H04SP7,467168543,1364,Training,4,Human-Plain,false,ham,1,2,3201,1
18,A3KF6O09H04SP7,467168543,631,Training,5,Human-Plain,true,phishing,0,2,2498,1
19,AIQM86IRETAJN,294224885,772,preTraining,5,Human-Plain,false,ham,3,0,24435,1
20,AIQM86IRETAJN,294224885,8,preTraining,6,Human-Plain,true,phishing,4,4,46723,1
21,A3KF6O09H04SP7,467168543,944,Training,6,Human-Plain,true,ham,1,2,3251,0
22,AIQM86IRETAJN,294224885,988,preTraining,7,Human-Plain,false,ham,2,2,4967,1
23,AIQM86IRETAJN,294224885,220,preTraining,8,Human-Plain,true,phishing,3,4,20510,1
24,A3KF6O09H04SP7,467168543,1432,Training,7,Human-Plain,false,ham,0,2,2929,1
25,A3KF6O09H04SP7,467168543,340,Training,8,Human-Plain,true,phishing,4,5,2864,1
26,AIQM86IRETAJN,294224885,475,preTraining,9,Human-Plain,false,phishing,1,0,10676,0
27,AIQM86IRETAJN,294224885,1132,preTraining,10,Human-Plain,false,ham,2,2,35612,1
28,A3KF6O09H04SP7,467168543,184,Training,9,Human-Plain,true,phishing,4,5,2450,1
29,AIQM86IRETAJN,294224885,872,Training,1,Human-Plain,true,ham,2,4,1840,0
30,A3KF6O09H04SP7,467168543,912,Training,10,Human-Plain,false,ham,1,2,3902,1
31,A3KF6O09H04SP7,467168543,916,Training,11,Human-Plain,true,ham,1,2,2489,0
32,AIQM86IRETAJN,294224885,1304,Training,2,Human-Plain,true,ham,3,1,11115,0
33,AIQM86IRETAJN,294224885,1424,Training,3,Human-Plain,true,ham,2,4,8112,0
34,A3KF6O09H04SP7,467168543,88,Training,12,Human-Plain,true,phishing,4,5,2245,1
35,AIQM86IRETAJN,294224885,527,Training,4,Human-Plain,true,phishing,2,4,1156,1
36,AIQM86IRETAJN,294224885,1040,Training,5,Human-Plain,false,ham,2,1,2157,1
37,AIQM86IRETAJN,294224885,772,Training,6,Human-Plain,false,ham,2,0,1247,1
38,A3KF6O09H04SP7,467168543,908,Training,13,Human-Plain,false,ham,0,2,2143,1
39,AIQM86IRETAJN,294224885,1068,Training,7,Human-Plain,false,ham,3,1,1524,1
40,A3KF6O09H04SP7,467168543,696,Training,14,Human-Plain,true,phishing,3,5,2275,1
41,AIQM86IRETAJN,294224885,1008,Training,8,Human-Plain,false,ham,2,0,1258,1
42,A3KF6O09H04SP7,467168543,32,Training,15,Human-Plain,true,phishing,3,2,2590,1
43,AIQM86IRETAJN,294224885,1000,Training,9,Human-Plain,false,ham,2,0,1465,1
44,A1CC1ESUM2JWJ2,740438790,1104,preTraining,1,Human-Plain,false,ham,4,0,19000,1
45,A3KF6O09H04SP7,467168543,936,Training,16,Human-Plain,false,ham,3,3,2651,1
46,AIQM86IRETAJN,294224885,736,Training,10,Human-Plain,true,phishing,1,4,1130,1
47,A1CC1ESUM2JWJ2,740438790,1052,preTraining,2,Human-Plain,false,ham,4,0,26133,1
48,A3KF6O09H04SP7,467168543,984,Training,17,Human-Plain,false,ham,3,0,2287,1
49,A3KF6O09H04SP7,467168543,471,Training,18,Human-Plain,true,phishing,4,5,2193,1
50,A1CC1ESUM2JWJ2,740438790,680,preTraining,3,Human-Plain,true,phishing,4,4,28109,1
51,AIQM86IRETAJN,294224885,824,Training,11,Human-Plain,false,ham,1,1,3481,1
52,AIQM86IRETAJN,294224885,308,Training,12,Human-Plain,false,phishing,3,1,1436,0
53,A3KF6O09H04SP7,467168543,736,Training,19,Human-Plain,true,phishing,2,4,2803,1
54,A1CC1ESUM2JWJ2,740438790,1188,preTraining,4,Human-Plain,false,ham,4,3,22200,1
55,A1CC1ESUM2JWJ2,740438790,860,preTraining,5,Human-Plain,false,ham,4,3,24105,1
56,A3KF6O09H04SP7,467168543,1420,Training,20,Human-Plain,false,ham,1,3,2675,1
57,A1CC1ESUM2JWJ2,740438790,768,preTraining,6,Human-Plain,false,ham,4,3,18316,1
58,A3KF6O09H04SP7,467168543,716,Training,21,Human-Plain,true,phishing,4,5,2578,1
59,A1CC1ESUM2JWJ2,740438790,1252,preTraining,7,Human-Plain,false,ham,4,0,22567,1
60,A1CC1ESUM2JWJ2,740438790,156,preTraining,8,Human-Plain,true,phishing,4,4,14367,1
61,A3KF6O09H04SP7,467168543,720,Training,22,Human-Plain,true,phishing,4,5,2378,1
62,A1CC1ESUM2JWJ2,740438790,1300,preTraining,9,Human-Plain,false,ham,4,4,12194,1
63,A1CC1ESUM2JWJ2,740438790,132,preTraining,10,Human-Plain,true,phishing,4,3,13021,1
64,A3KF6O09H04SP7,467168543,988,Training,23,Human-Plain,false,ham,3,1,2342,1
65,A3KF6O09H04SP7,467168543,236,Training,24,Human-Plain,false,phishing,1,2,1996,0
66,A1CC1ESUM2JWJ2,740438790,1196,Training,1,Human-Plain,false,ham,4,0,1965,1
67,A3KF6O09H04SP7,467168543,1268,Training,25,Human-Plain,false,ham,2,3,2689,1
68,A1AYQ8E01NSY5Z,140544808,512,preTraining,1,GPT-GPT,true,phishing,4,5,83577,1
69,A1CC1ESUM2JWJ2,740438790,1372,Training,2,Human-Plain,false,ham,3,0,5670,1
70,A1CC1ESUM2JWJ2,740438790,80,Training,3,Human-Plain,true,phishing,4,4,3245,1
71,A3KF6O09H04SP7,467168543,904,Training,26,Human-Plain,false,ham,2,3,1849,1
72,A3KF6O09H04SP7,467168543,571,Training,27,Human-Plain,true,phishing,3,5,2745,1
73,A1CC1ESUM2JWJ2,740438790,984,Training,4,Human-Plain,false,ham,4,0,2965,1
74,A1AYQ8E01NSY5Z,140544808,69,preTraining,2,GPT-GPT,false,phishing,4,0,98777,0
75,A3KF6O09H04SP7,467168543,712,Training,28,Human-Plain,true,phishing,2,3,3117,1
76,A1CC1ESUM2JWJ2,740438790,104,Training,5,Human-Plain,false,phishing,4,0,2972,0
77,A1CC1ESUM2JWJ2,740438790,1104,Training,6,Human-Plain,false,ham,4,0,2778,1
78,A1CC1ESUM2JWJ2,740438790,575,Training,7,Human-Plain,true,phishing,4,4,2019,1
79,A3KF6O09H04SP7,467168543,587,Training,29,Human-Plain,false,phishing,1,2,2573,0
80,A1CC1ESUM2JWJ2,740438790,920,Training,8,Human-Plain,true,ham,4,4,2966,0
81,A1CC1ESUM2JWJ2,740438790,260,Training,9,Human-Plain,true,phishing,4,4,4943,1
82,A3KF6O09H04SP7,467168543,980,Training,30,Human-Plain,false,ham,2,1,2541,1
83,A1AYQ8E01NSY5Z,140544808,1121,preTraining,3,GPT-GPT,false,ham,4,3,41547,1
84,A1CC1ESUM2JWJ2,740438790,1344,Training,10,Human-Plain,false,ham,4,0,2317,1
85,A3KF6O09H04SP7,467168543,1000,Training,31,Human-Plain,true,ham,0,2,2148,0
86,A1CC1ESUM2JWJ2,740438790,487,Training,11,Human-Plain,true,phishing,4,4,2502,1
87,A1CC1ESUM2JWJ2,740438790,607,Training,12,Human-Plain,true,phishing,4,4,3030,1
88,A3KF6O09H04SP7,467168543,1024,Training,32,Human-Plain,false,ham,3,2,1598,1
